City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,miasskoye,55.2784,61.8905,13.78,67,100,2.78,RU,1696299725
294,ribeira brava,32.65,-17.0667,23.35,70,8,2.41,PT,1696299255
295,semey,50.4111,80.2275,5.12,93,100,3.0,KZ,1696299725
296,shahritus,37.2637,68.1385,17.55,23,1,1.73,TJ,1696299725
297,megion,61.0296,76.1136,10.01,83,100,6.39,RU,1696299725
298,vilyuchinsk,52.9306,158.4028,8.85,86,100,3.48,RU,1696299249
299,kalevala,65.2,31.1667,7.83,85,100,4.02,RU,1696299726
300,tuy hoa,13.0833,109.3,28.06,84,88,1.72,VN,1696299726
301,gorom-gorom,14.4439,-0.2361,32.13,38,96,3.49,BF,1696299726
302,boguchany,58.3814,97.4531,-0.64,98,100,1.79,RU,1696299384
303,kandry,54.5667,54.1167,12.93,65,100,2.42,RU,1696299726
304,tekkali,18.6167,84.2333,26.99,89,100,2.58,IN,1696299726
305,kampong speu,11.5,104.3333,25.9,88,100,1.19,KH,1696299726
306,chibougamau,49.9168,-74.3659,16.79,94,100,5.66,CA,1696299249
307,utrik,11.2278,169.8474,28.76,78,27,6.3,MH,1696299359
308,turpan,42.9333,89.1667,24.26,25,100,1.75,CN,1696299378
309,hualien city,23.9769,121.6044,31.34,50,95,4.28,TW,1696299393
310,yuzhno-kurilsk,44.0306,145.8556,14.65,74,66,9.66,RU,1696299223
311,pereiaslav-khmelnytskyi,50.0877,31.4795,9.55,73,10,2.59,UA,1696299727
312,bijar,35.8668,47.6051,10.56,72,93,1.92,IR,1696299727
313,altamira,-3.2033,-52.2064,26.66,66,43,2.34,BR,1696299727
314,guarapari,-20.6667,-40.4975,23.27,96,100,0.87,BR,1696299727
315,carbonear,47.7332,-53.2148,10.06,94,3,1.32,CA,1696299402
316,caluula,11.9661,50.7569,27.85,70,0,0.9,SO,1696299729
317,northwood,40.4728,-83.7324,22.2,75,0,2.57,US,1696299661
318,aoulef,26.9667,1.0833,27.6,29,1,7.06,DZ,1696299730
319,akcakale,36.7111,38.9475,18.93,69,0,1.99,TR,1696299730
320,badiyah,22.45,58.8,26.12,42,38,1.4,OM,1696299730
321,yichang,30.7144,111.2847,19.1,86,94,0.88,CN,1696299730
322,kenai,60.5544,-151.2583,9.52,74,100,3.6,US,1696299244
323,castillos,-34.1667,-53.8333,10.34,95,61,2.18,UY,1696299217
324,worthington,40.0931,-83.018,21.42,79,0,2.57,US,1696299730
325,mariehamn,60.0973,19.9348,11.92,94,100,2.06,AX,1696299730
326,ambazac,45.9598,1.4006,18.18,80,40,3.65,FR,1696299731
327,ellsworth,44.5434,-68.4195,14.18,86,0,0.0,US,1696299374
328,zhirnovsk,50.9845,44.7735,11.6,52,100,0.75,RU,1696299731
329,carnarvon,-24.8667,113.6333,19.36,43,0,10.72,AU,1696299217
330,berdychiv,49.8993,28.6024,8.14,70,61,2.58,UA,1696299731
331,codrington,-38.2667,141.9667,15.01,66,97,7.68,AU,1696299381
332,calvinia,-31.4707,19.776,17.7,33,0,1.31,ZA,1696299731
333,talca,-35.4333,-71.6667,9.41,84,40,1.75,CL,1696299571
334,santa isabel,-23.3156,-46.2214,18.87,97,100,1.36,BR,1696299731
335,wynyard,-41.0,145.7167,16.59,60,96,5.58,AU,1696299406
336,andkhoy,36.9529,65.1238,18.51,18,99,4.74,AF,1696299731
337,san-pedro,4.7485,-6.6363,24.25,92,95,3.32,CI,1696299731
338,lihue,21.9789,-159.3672,28.58,73,40,4.63,US,1696299068
339,rudnichnyy,59.617,52.4703,8.66,95,100,1.61,RU,1696299732
340,erenhot,43.6475,111.9767,12.9,36,48,4.59,CN,1696299732
341,coruripe,-10.1256,-36.1756,23.34,81,2,5.58,BR,1696299732
342,plettenberg bay,-34.0527,23.3716,16.5,63,0,2.51,ZA,1696299732
343,soio,-6.1349,12.3689,23.97,89,47,2.77,AO,1696299732
344,pingdingshan,33.7385,113.3012,19.77,66,11,2.2,CN,1696299732
345,hanceville,34.0607,-86.7675,21.42,61,0,1.8,US,1696299527
346,homer,59.6425,-151.5483,7.94,72,75,2.57,US,1696299249
347,wabag,-5.4781,143.7021,16.36,93,100,0.41,PG,1696299732
348,minas de marcona,-15.2119,-75.1103,13.56,86,80,5.73,PE,1696299249
349,kununurra,-15.7667,128.7333,34.99,43,75,3.6,AU,1696299066
350,palikir - national government center,6.9248,158.1611,31.41,74,75,3.09,FM,1696299225
