,Unnamed: 0,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
545,545,ngambe,4.2333,10.6167,293.88,100,100,0.64,CM,1696036579
546,546,fendou,46.65,124.8667,286.64,57,94,5.24,CN,1696036579
547,547,nadym,65.5333,72.5167,272.15,90,98,4.06,RU,1696036579
548,548,nogliki,51.8333,143.1667,286.79,67,13,2.81,RU,1696036579
549,549,kavaratti,10.5669,72.642,300.85,81,100,8.34,IN,1696036579
550,550,tonkino,57.3726,46.4629,282.52,87,96,2.21,RU,1696036579
551,551,yengema,8.7167,-11.1667,295.09,99,99,0.46,SL,1696036579
552,552,mayya,61.7333,130.2811,274.77,38,75,0.63,RU,1696036580
553,553,usogorsk,63.4106,48.6872,281.62,95,97,2.91,RU,1696036580
554,554,matola,-25.9622,32.4589,296.12,78,0,4.12,MZ,1696036580
555,555,hadibu,12.65,54.0333,299.4,86,98,2.81,YE,1696036580
556,556,krasnoarmeysk,51.0239,45.6969,285.32,72,12,3.04,RU,1696036580
557,557,nowshahr,36.649,51.496,294.12,88,75,1.03,IR,1696036580
558,558,menaka,15.9182,2.4022,304.2,44,18,6.47,ML,1696036580
559,559,arkhangel'sk,64.5401,40.5433,284.49,96,100,3.64,RU,1696036580
560,560,dongcun,36.7767,121.1597,293.97,70,0,4.16,CN,1696036580
561,561,kuala terengganu,5.3302,103.1408,301.12,78,20,1.03,MY,1696036580
562,562,sumbawa besar,-8.5,117.4333,304.91,35,100,3.41,ID,1696036581
563,563,baiyin,36.5583,104.2081,287.23,74,93,2.13,CN,1696036581
564,564,lethem,3.3803,-59.7968,304.12,46,78,2.59,GY,1696036581
565,565,mahina,-17.5065,-149.489,301.02,65,40,4.12,PF,1696036581
566,566,shahrak,34.1074,64.3052,274.94,64,0,1.9,AF,1696036581
567,567,tindouf,27.6711,-8.1474,297.4,25,11,2.06,DZ,1696036581
568,568,chifeng,42.2683,118.9636,288.63,33,5,7.72,CN,1696036581
569,569,cheremushki,52.8356,91.3944,282.02,96,100,0.97,RU,1696036581
570,570,khash,28.2211,61.2158,288.82,21,0,2.15,IR,1696036581
571,571,mhlume,-26.0333,31.85,295.06,77,0,2.14,SZ,1696036582
572,572,carutapera,-1.195,-46.02,298.64,82,7,3.29,BR,1696036582
573,573,kill devil hills,36.0307,-75.676,294.25,91,100,5.14,US,1696036582
574,574,grand-bassam,5.2118,-3.7388,299.13,93,99,1.9,CI,1696036582
575,575,glace bay,46.1969,-59.957,284.8,93,40,2.24,CA,1696036582
576,576,acarau,-2.8856,-40.12,298.91,78,85,7.36,BR,1696036582
577,577,robertsport,6.7533,-11.3686,299.35,84,100,2.2,LR,1696036582
578,578,oliver,49.1831,-119.5524,288.1,51,11,4.12,CA,1696036582
579,579,las veredas,23.1388,-109.7075,305.35,73,10,0.45,MX,1696036582
580,580,paita,-5.0892,-81.1144,293.41,85,70,5.66,PE,1696036582
581,581,papao,-17.75,-149.55,300.97,83,22,8.66,PF,1696036583
582,582,queenstown,-31.8976,26.8753,289.81,26,100,3.8,ZA,1696036583
583,583,naze,28.3667,129.4833,299.66,79,5,1.49,JP,1696036583
584,584,sandnessjoen,66.0217,12.6316,282.44,81,84,1.73,NO,1696036583
585,585,eureka,40.8021,-124.1637,291.9,90,93,0.89,US,1696036583
